===== 方案A 3串1 优化网格（7+8月合并，全部组合按 p_hit 排序） =====
cfg = 选数|方向腿|选场门槛|组合约束  [月份: 出串/命中]
mild|all|phat45|difflg_loose           n=31  命中=10  p_hit=0.323 均赔=4.04 ROI=+0.304 出串=31天 [2026-07:8/2 2026-08:23/8]
mild|all|phat45|ladder                 n=31  命中=10  p_hit=0.323 均赔=4.05 ROI=+0.306 出串=31天 [2026-07:9/1 2026-08:22/9]
mild|ambi|phat45|none                  n=31  命中=10  p_hit=0.323 均赔=4.20 ROI=+0.355 出串=31天 [2026-07:10/3 2026-08:21/7]
mild|ambi|phat45|difflg_loose          n=28  命中=9   p_hit=0.321 均赔=4.15 ROI=+0.335 出串=28天 [2026-07:8/2 2026-08:20/7]
curr|ambi|none|difflg                  n=22  命中=7   p_hit=0.318 均赔=6.04 ROI=+0.921 出串=22天 [2026-07:5/1 2026-08:17/6]
mild|all|phat45|none                   n=35  命中=11  p_hit=0.314 均赔=4.13 ROI=+0.299 出串=35天 [2026-07:10/3 2026-08:25/8]
mild|ambi|phat45|ladder                n=29  命中=9   p_hit=0.310 均赔=4.16 ROI=+0.290 出串=29天 [2026-07:9/1 2026-08:20/8]
all345|all|none|none                   n=36  命中=11  p_hit=0.306 均赔=4.06 ROI=+0.241 出串=36天 [2026-07:11/4 2026-08:25/7]
all345|all|phat45|none                 n=36  命中=11  p_hit=0.306 均赔=4.06 ROI=+0.241 出串=36天 [2026-07:11/4 2026-08:25/7]
all345|all|phat50|none                 n=36  命中=11  p_hit=0.306 均赔=4.06 ROI=+0.241 出串=36天 [2026-07:11/4 2026-08:25/7]
all345|all|none|difflg_loose           n=33  命中=10  p_hit=0.303 均赔=4.02 ROI=+0.218 出串=33天 [2026-07:9/3 2026-08:24/7]
all345|all|phat45|difflg_loose         n=33  命中=10  p_hit=0.303 均赔=4.02 ROI=+0.218 出串=33天 [2026-07:9/3 2026-08:24/7]
all345|all|phat50|difflg_loose         n=33  命中=10  p_hit=0.303 均赔=4.02 ROI=+0.218 出串=33天 [2026-07:9/3 2026-08:24/7]
curr|ambi|phat45|ladder                n=20  命中=6   p_hit=0.300 均赔=4.09 ROI=+0.228 出串=20天 [2026-07:7/2 2026-08:13/4]
curr|ambi|phat50|ladder                n=20  命中=6   p_hit=0.300 均赔=4.09 ROI=+0.228 出串=20天 [2026-07:7/2 2026-08:13/4]
curr|ambi|phat45|difflg_loose          n=17  命中=5   p_hit=0.294 均赔=4.03 ROI=+0.186 出串=17天 [2026-07:5/2 2026-08:12/3]
curr|ambi|phat50|difflg_loose          n=17  命中=5   p_hit=0.294 均赔=4.03 ROI=+0.186 出串=17天 [2026-07:5/2 2026-08:12/3]
mild|all|phat50|difflg_loose           n=31  命中=9   p_hit=0.290 均赔=4.03 ROI=+0.169 出串=31天 [2026-07:8/2 2026-08:23/7]
mild|all|phat50|ladder                 n=31  命中=9   p_hit=0.290 均赔=4.04 ROI=+0.171 出串=31天 [2026-07:9/1 2026-08:22/8]
mild|ambi|phat50|none                  n=31  命中=9   p_hit=0.290 均赔=4.19 ROI=+0.215 出串=31天 [2026-07:10/3 2026-08:21/6]
